,Dealer or Individual?,Price,Year,Location,Mileage,Doors,Color,Engine,Description,Web Link
105,0,11295.0,2017,"Michigan City, IN",184380.0,4,Gray,4 Cyl,"Sporty Style, Dynamic Performance & Everyday Comfort Discover the 2017 Honda Accord Sport at Michigan City HyundaiElevate your daily drive with the 2017 Honda Accord Sport, now available at Michigan City Hyundai. This sporty yet practical sedan blends athletic performance, refined style, and everyday capability all with Hondas reputation for long-term reliability. Ideal for commuting in Chicago, weekend drives, or daily errands across Northwest Indiana.Performance That DelightsPowered by a 2.4liter iVTEC four-cylinder engine, the Accord Sport delivers 189 hp at 6,400rpm and 182 lb-ft of torque at 3,900 rpm a small bump over base models thanks to its dual exhaust tuningBuyers can choose between a 6 speed manual, favored by driving enthusiasts, or a CVT automatic with paddle shifters for sporty controlFuel economy is strong manual-equipped models return 23 MPG city / 32 MPG highway, and the CVT-equipped version improves to 26 MPG city / 34 MPG highway (29 MPG combined)Sporty Design & Standout FeaturesDistinct from other Accord trims, the Sport comes standard with 19inch alloy wheels, LED daytime running lights, fog lamps, and a leather wrapped steering wheel. Cloth seats with imitation leather bolsters lend a sporty feel, and paddle shifters add extra engagement with the CVT setupA Sport Special Edition adds premium touches like heated front seats, red contrast stitching upholstery, and unique badging for a more upscale sport appearanceSpacious & Well Equipped InteriorAccommodating up to five passengers in 103.2 cubic feet of passenger space, Accord Sport offers generous front legroom (~42.5"") and rear legroom (~38.5"")spacious for a midsize sedanStandard conveniences include dual-zone automatic climate control, tilt-and-telescoping steering, power driver seat, Bluetooth hands-free & streaming audio, a 60/40 split-fold rear seatback, and a rearview cameraInfotainment is intuitive: a 7.7inch display, Bluetooth audio, Pandora, USB/aux inputs, and steering-wheel-mounted controls. (Note: the 7inch touchscreen option is limited rare on Sport unless Hybrid or EX)Safety & Driver Assist TechnologyAccord applies Hondas ACE body structure for a rigid, safe chassis. Standard safety equipment includes dual-stage front airbags, side-impact and curtain airbags, ABS with brake assist, traction and stability control, and a rearview cameraAvailable Honda Sensing suite (strongly recommended upgrade) adds adaptive cruise control, collision mitigation braking, lane-keeping assist, and road-departure mitigation, bringing IIHS Top Safety Pick+ and 5star NHTSA ratings within reachQuick Specifications at a GlanceTrim: 2017 Honda Accord Sport (Sedan)Engine: 2.4L iVTEC I4 189 hp / 182 lb-ftTransmission: 6speed manual or CVT (sport mode & paddle shifters)Drivetrain: FrontWheel DriveFuel Economy: 23/32 mpg (manual), 26/34/29 mpg (CVT)Passenger Volume: ~103.2 cu ft, Cargo: 15.8 cu ftWheels: 19 alloy, LED DRL and fog lightsSeating: Cloth with sport bolsters (heated in Sport SE)Infotainment: 7.7 display, Bluetooth, USB/Aux, Pandora, steering audio controlsSafety: Comprehensive airbags, ABS, stability and traction control, optional Honda Sensing safety suiteWhy the 2017 Accord Sport Stands OutOwners praise the Sport trim for combining fuel-efficient power with engaging dynamics and daily practicality. One Accord driver enthusiastically shared, Just bought this gorgeous used 2017 Accord Sport ... forward to driving this car for the foreseeable future.",https://www.carfax.com/vehicle/1HGCR2F57HA278709
106,0,12787.0,2017,,179709.0,4,White Orchid Pearl,2.4L 4 CYL,"Leather Seats Rear Spoiler Black; Cloth Seat Trim White Orchid Pearl   This vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.  At AutoNation Honda West Knoxville our Internet Sales Consultants specialize in saving our customers both time and money by simplifying the process of locating and purchasing a Car, Truck, SUV, or Van. Our Market Based Pricing ensures that our customers always receive an excellent value without spending excessive amounts of time haggling over the price. We specialize in providing financing options to fit most budgets and personal situations (including credit challenges). Contact one of our Internet Sales Consultants TODAY at 865-730-0012 to schedule your personal appointment to come in and select your next vehicle, or visit our website at: www.autonationhondawestknoxville.com . You will be glad that you did! This Honda includes: WHITE ORCHID PEARL *Note - For third party subscriptions or services, please contact the dealer for more information.* This 2017 Honda Accord Sedan has great acceleration and wonderful styling without sacrificing exceptional fuel economy. Added comfort with contemporary style is the leather interior to heighten the quality and craftsmanship for the Honda Accord Sedan Sport. More information about the 2017 Honda Accord Sedan: The Honda Accord is very popular in the mid-size segment, continually selling at the top of a very competitive class. Prime competitors for the Accord include the Toyota Camry and the Nissan Altima. The Accord is a solid value, even in its humblest configuration. With its capable and sophisticated chassis, the Accord can feel quite luxurious when properly optioned. This versatility allows it to be either a spacious alternative to many economy cars or a less expensive alternative to many luxury cars. There is even a stylish coupe available with performance to match its already stellar platform. Interesting features of this model are Interior space, powerful and efficient drivetrains, class-leading resale value, and wide variety of configurations available",https://www.autonationhondacovingtonpike.com/used/Honda/2017-Honda-Accord-d085258eac1820694c0ea2368cbd7618.htm
107,0,15587.0,2018,,159494.0,4,White,1.5 Liter Turbo,"Moonroof Leather Seats Navigation System Lane Keeping Assist Keyless Start   This vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.  At AutoNation Honda West Knoxville our Internet Sales Consultants specialize in saving our customers both time and money by simplifying the process of locating and purchasing a Car, Truck, SUV, or Van. Our Market Based Pricing ensures that our customers always receive an excellent value without spending excessive amounts of time haggling over the price. We specialize in providing financing options to fit most budgets and personal situations (including credit challenges). Contact one of our Internet Sales Consultants TODAY at 865-730-0012 to schedule your personal appointment to come in and select your next vehicle, or visit our website at: www.autonationhondawestknoxville.com . You will be glad that you did! This wonderfully fuel-efficient vehicle offers a supple ride, quick acceleration and superior styling without sacrificing MPGs. This is about the time when you're saying it is too good to be true, and let us be the one's to tell you, it is absolutely true. You've found the one you've been looking for. Your dream car. The quintessential Honda -- This Honda Accord Sedan EX-L Navi 1.5T speaks volumes about its owner, about uncompromising individuality, a passion for driving and standards far above the ordinary.",https://www.autonationhondacovingtonpike.com/used/Honda/2018-Honda-Accord-8611fd06ac1805fe4bf6e6e6fbdfb5c1.htm
108,0,15888.0,2013,,82159.0,4,White Orchid Pearl,I-4 cyl,"Moonroof Leather Seats Keyless Start Black; Seat Trim White Orchid Pearl   This vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.  Clean Carfax, Premium Audio 360 watts, Alloy Wheels, heated Seats, Leather! Looking for a clean, well-cared for 2013 Honda Accord Sdn? This is it. This Honda includes: WHITE ORCHID PEARL BLACK, SEAT TRIM *Note - For third party subscriptions or services, please contact the dealer for more information.* If you are looking for a vehicle with great styling, options and incredible fuel economy, look no further than this quality automobile. One of the best things about this Honda Accord Sdn is that it has low, low mileage. It's ready for you to truly break it in. Added comfort with contemporary style is the leather interior to heighten the quality and craftsmanship for the Honda Accord Sdn EX-L. More information about the 2013 Honda Accord Sdn: The Accord is a mid-sized car, competing against some of the best-selling vehicles in America. Prime targets for the Accord include the Camry and the Altima. The Accord is a solid value and the chassis is capable and sophisticated enough to be optioned up into a fairly luxurious vehicle, This versatility allows it to be either a spacious alternative to many economy cars or a less expensive alternative to many luxury cars. There is even a stylish coupe available with performance that matches many sports cars. Interesting features of this model are long history of reliability, interior space, Fuel efficiency, and large number of configurations available.",https://www.autonationhondacovingtonpike.com/used/Honda/2013-Honda-Accord-e7e454afac184dd26bf9b236fd56b352.htm
109,0,14840.0,2014,"Chicago, IL",74699.0,4,Gray,4 Cyl,Cloth.,https://www.carfax.com/vehicle/1HGCR2F59EA218507
110,0,11713.0,2014,"Muskegon, MI",150093.0,4,White,4 Cyl,"2014 Honda Accord Hybrid EX-L 2.0L 4-Cylinder i-VTEC, 17"" Alloy Wheels, Automatic temperature control, Electronic Stability Control, Exterior Parking Camera Rear, Four wheel independent suspension, Front Bucket Seats, Front dual zone A/C, Fully automatic headlights, Heated door mirrors, Heated front seats, Leather-Trimmed Seats, Memory seat, Power driver seat, Power moonroof, Power passenger seat, Radio: 360-Watt AM/FM/CD Premium Audio System, Remote keyless entry, Steering wheel mounted audio controls. 50/45 City/Highway MPG Awards: * Green Car Journal 2014 Green Car of the Year * 2014 KBB.com Brand Image Awards Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc. Based on 2017 EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions and other factors.",https://www.carfax.com/vehicle/1HGCR6F59EA005760
111,0,27215.0,2024,"Bourbonnais, IL",21754.0,4,Red,4 Cyl,"2024 Honda Accord Hybrid Sport, 46 MPG, Power Moonroof, Wireless Apple CarPlay and Android Auto, Remote Engine Start, Blind-Spot Information System, Rear Cross-Traffic Monitor, Multi-Angle Rearview Camera, Adaptive Cruise Control, Lane Keeping Assist, Forward Collision Warning, Collision Mitigation Braking System, Lane Departure Warning, Road Departure Mitigation System, Traffic Sign Recognition, LED Headlights, Vehicle Stability Assist with Traction Control, Bluetooth HandsFreeLink with Streaming Audio, 180-Watt Premium Sound System with 8-Speakers, Alexa Built-In, USB Ports, Dual-Zone Automatic Climate Control, 10-Way Power Seat, Power Trunk, Power Windows, Power Locks, Power Exterior Mirrors, Tilt and Telescopic Steering Column, Remote Keyless Entry, and Alloy Wheels. Perfect CARFAX, Recent Arrival! 46/41 City/Highway MPG",https://www.carfax.com/vehicle/1HGCY2F56RA068977
112,0,24000.0,2024,"Aurora, IL",94607.0,4,Black,4 Cyl,"Recent Arrival! CARFAX One-Owner. Black 2024 Honda Accord Hybrid 4D Sedan Sport 2.0L 16V DOHC FWD  2.0L 16V DOHC, 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Blind Spot Information (BSI) System warning, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Fabric Seat Trim, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Fully automatic headlights, Illuminated entry, Knee airbag, Lane departure: Lane Keeping Assist System (LKAS) active, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power steering, Power windows, Radio data system, Radio: 180-Watt Audio System, Rear anti-roll bar, Rear reading lights, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, Wheels: 19"" x 8.5J Berlina Black.   This Accord Hybrid is well equipped with 2.0L 16V DOHC, 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Blind Spot Information (BSI) System warning, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Fabric Seat Trim, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Fully automatic headlights, Illuminated entry, Knee airbag, Lane departure: Lane Keeping Assist System (LKAS) active, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power steering, Power windows, Radio data system, Radio: 180-Watt Audio System, Rear anti-roll bar, Rear reading lights, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, and Wheels: 19"" x 8.5J Berlina Black.",https://www.carfax.com/vehicle/1HGCY2F52RA059385
113,0,25991.0,2018,"Missoula, MT",75084.0,4,Lunar Silver Metallic,"4 Cyl, 2.0L","You'll never again be lost in a crowded city or a country region with the navigation system on this unit. This vehicle keeps you comfortable with Auto Climate. This unit comes equipped with Android Auto for seamless smartphone integration on the road. This unit has auto-adjust speed for safe following. Protect the Honda Accord from unwanted accidents with a cutting edge backup camera system. This vehicle has a clean CARFAX vehicle history report. This Honda Accord features a hands-free Bluetooth phone system. The leather seats in the Honda Accord are a must for buyers looking for comfort, durability, and style. Apple CarPlay: Seamless smartphone integration for the Honda Accord - stay connected and entertained on the go! The rear parking assist technology on it will put you at ease when reversing. The system alerts you as you get closer to an obstruction. The vehicle gleams with an elegant silver clear coated finish.",https://www.dennymenholtuniversityhonda.com/auto/used-2018-honda-accord-touring-20t-near-hamilton-mt/105543208/
114,0,25665.0,2022,,55714.0,4,Lunar Silver Metallic,1.5L 4 Cylinder Engine,Accord Sport SE,https://www.baierlhonda.com/used/Honda/2022-Honda-Accord-bf7b2932ac1828597ee2ae74df7411dc.htm
115,0,29991.0,2024,"Missoula, MT",13816.0,4,Meteorite Gray Metallic,"4 Cyl, 1.5L","This mid-size car's Forward Collision Warning system alerts the driver to potential front-end collisions, enhancing safety. This unit features a hands-free Bluetooth phone system. This vehicle has auto-adjust speed for safe following. See what's behind you with the back up camera on this mid-size car. This model comes equipped with Android Auto for seamless smartphone integration on the road. This Honda Accord is a manufacturer certified pre-owned vehicle. This model offers Automatic Climate Control for personalized comfort. Our dealership has already run the CARFAX report and it is clean. A clean CARFAX is a great asset for resale value in the future. Apple CarPlay: Seamless smartphone integration for this vehicle - stay connected and entertained on the go! Good News! This certified CARFAX 1-owner vehicle has only had one owner before you. Set the temperature exactly where you are most comfortable in this mid-size car. The fan speed and temperature will automatically adjust to maintain your preferred zone climate.",https://www.dennymenholtuniversityhonda.com/auto/used-2024-honda-accord-ex-near-hamilton-mt/102862882/
116,0,25665.0,2022,,37232.0,4,Lunar Silver Metallic,1.5L 4 Cylinder Engine,Accord Sport SE,https://www.baierlhonda.com/used/Honda/2022-Honda-Accord-bf7b2932ac1828597ee2ae74df7411dc.htm
119,0,23899.0,2020,"Billings, MT",69961.0,4,Black,1.5T I4 DOHC 16V Turbocharged VTEC,"UNDERRINER PRICE AT $23,899.00!  2020 Honda Accord LX Black  At Underriner Honda we offer Lifetime Warranty Care on qualified pre-owned vehicles less than 5-years old and a 3-Day Money-Back Guarantee! Schedule your drive today at https://www.underrinerhonda.com/schedule-test-drive/",https://www.underrinerhonda.com/inventory/used-2020-honda-accord-lx-fwd-4d-sedan-1hgcv1f13la135090/
120,0,26665.0,2023,,1065.0,4,Solar Silver Metallic,Gas,EX 4dr Sedan,https://www.edmunds.com/honda/accord/2024/vin/1HGCY1F39RA007633/?radius=50
121,0,18264.0,2017,,67720.0,4,White Orchid Pearl,Gas,Sport Special Edition 4dr Sedan,https://www.edmunds.com/honda/accord/2017/vin/1HGCR2F11HA059998/?radius=50
122,0,26659.0,2022,Pittsburgh,65393.0,4,Gray,252 hp 2L I4,"CARFAX One-Owner. Gray 2022 Honda Accord 4D Sedan Touring 2.0T I4 DOHC 16V Turbocharged FWD This Accord is well equipped with 10 Speakers, 4-Wheel Disc Brakes, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Adaptive suspension, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Blind Spot Information (BSI) System warning, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heads-Up Display, Heated & Ventilated Front Bucket Seats, Heated door mirrors, Heated front seats, Heated rear seats, Illuminated entry, Knee airbag, Lane Departure Warning System, Leather steering wheel, Low tire pressure warning, Memory seat, Navigation system: Honda Satellite-Linked Navigation System, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Perforated Leather Seat Trim, Power door mirrors, Power driver seat, Power moonroof, Power passenger seat, Power steering, Power windows, Radio data system, Radio: 450-Watt AM/FM/HD Premium Audio System, Rain sensing wipers, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Ventilated front seats, and Wheels: 19"" Machine-Finished Alloy w/Gray Inserts.",https://www.cargurus.com/Cars/l-Used-Honda-Accord-d585?cgagid=329447&cgcid=1666&px8324=p2&sourceContext=usedPaidSearchNoZip&ax8324=124126031&type=GoogleAdWordsSearch&kw=honda%20accord%20sport%20for%20sale&matchtype=e&ad=469809697386&placement=&networktype=g&device=c&devicemodel=&adposition=&physloc=9005925&intloc=&aceid=&cid=261570062&agid=13191924662&tgtid=kwd-48703845474&fid=&gad_source=1&gad_campaignid=261570062&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt4ggFl-4V1hioafTkj-doPSy3u8AIWBEscNgjsU7lmS4A1vWoahBZkaAqyaEALw_wcB#listing=414639505/PRIORITY/DEFAULT
123,0,9700.0,2014,Springdale,158963.0,4,Blue,4,1 Owner. No accidents. Excellent condtion. Auto headlights. Dual Zone Front Automatic Air Conditioning . Heated seats. Back-Up Camera. Remote Keyless Entry. Visit Citywide Auto Sales at 640 Pittsburgh St. Springdale PA 15144 to shop our great deals. You can also contact us by calling 412-407-2421 to schedule your test drive today. ,https://www.carfax.com/vehicle/1HGCR2F55EA017669
124,0,29558.0,2024,"Billings, MT",12713.0,4,Crystal Black Pearl,2.0L 16V DOHC,"PRICED AT KELLY BLUE BOOK FAIR PURCHASE PRICE.  UNDERRINER PRICE $29,558.00!  2024 Honda Accord Hybrid Sport Crystal Black Pearl Honda Certified!!",https://www.underrinerhonda.com/inventory/used-2024-honda-accord-sedan-hybrid-sport-fwd-4d-sedan-1hgcy2f53ra019557/
125,0,28000.0,2024,Canonsburg,17329.0,4,White,4,"Priced below KBB Fair Purchase Price! CARFAX One-Owner. 51/44 City/Highway MPG Odometer is 2341 miles below market average!  2024 Honda Accord Hybrid EX-L 2.0L 16V DOHC FWD  Back UP Camera .  • Exceptional Car-Buying Experience: At South Hills Kia, we pride ourselves on offering an exceptional car-buying experience • Wide Selection of Vehicles: Explore our wide selection of new and pre-owned Kia vehicles • Convenient Location: Conveniently located on Route 19 in Peters Township, McMurray, PA, we are your go-to dealership in the Pittsburgh area • Top-Notch Customer Service: Our commitment to providing top-notch customer service ensures a hassle-free buying process • Competitive Pricing: Enjoy competitive pricing on all our vehicles using the latest software to ensure you get a fair deal • Exclusive Benefits: Every South Hills Vehicle comes with Nitrogen Filled tires for increased gas mileage and decreased tire wear AND the South Hills Value Package worth over $2000 • Knowledgeable Staff: Our knowledgeable staff is here to help you find the perfect vehicle, whether it's a stylish Kia sedan for your daily commute or a spacious Kia SUV for your family needs • Visit Us Today: Visit South Hills Kia today and discover why we're the preferred choice for car buyers in the Pittsburgh area • Important Information: Sale price does not include tax, title, and license. Every reasonable effort is made to ensure the accuracy of this information, South Hills is not responsible for errors or omissions contained on these pages.  South Hills Kia is pleased to offer this superb-looking 2024 Honda Accord Hybrid an absolutely charming Car with the following features 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Blind Spot Information (BSI) System warning, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Lane departure: Lane Keeping Assist System (LKAS) active, Leather Shift Knob, Leather steering wheel, Leather-Trimmed Seat Trim, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power passenger seat, Power steering, Power windows, Radio data system, Radio: 180-Watt Audio System, Rear anti-roll bar, Rear reading lights, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, and Wheels: 17"" x 7.5J Pewter Gray.",https://www.carfax.com/vehicle/1HGCY2F64RA033931
126,0,10995.0,2012,Springdale,84091.0,4,Gray,4,"? 2012 Honda Accord LX-P Reliable, Efficient & Refined ? ?? Cash Price: $10,995 ?? PA AUTOSPORT LLC 1040 Pittsburgh Street, Springdale, PA 15144 ?? Call/Text: (412) 579-3535 | ?? www.paautosport.com ?? One Shop. All Solutions.?? Vehicle Highlights: ?? VIN: 1HGCP2F47CA217785 ?? Mileage: 84,091 miles ?? Engine: 2.4L 4-Cylinder VTEC Balanced Power & Efficiency ?? Transmission: 5-Speed Automatic ?? Drivetrain: FWD ?? Fuel Economy: 23 MPG City/34 MPG Highway ?? Exterior: Sophisticated Gray ?? Interior: Soft Gray ?? Body Style: 4-Door Sedan ?? Horsepower: 177 HP? Clean Title | CARFAX Available ?? Smooth, Comfortable Ride with Proven Honda Reliability ??? Fully Inspected PA Inspection Valid Through 8/2026?? Why Buy from PA AUTOSPORT? ????? 3 Full-Time In-House Mechanics Thoroughly Inspected ?? Financing Available All Credit Welcome ?? Family-Owned & Trusted Dealership ?? Reliable, Road-Ready Vehicles Honest Pricing? Dependable, Efficient, and Stylish This Honda Accord LX-P is perfect for commuting, families, or anyone looking for a fuel-efficient, reliable, and comfortable sedan.?? Call or visit PA Autosport today to schedule your test drive!#HondaAccord #UsedCarsPA #ReliableRides #PAAutosport #LowMileage #SoftGrayInterior #FamilyCar #SpringdalePA #CashPrice #CarDeals #DriveHappy",https://www.carfax.com/vehicle/1HGCP2F47CA217785
127,0,23991.0,2020,,52522.0,4,Platinum White Pearl,Gas,EX-L 4dr Sedan (1.5L 4cyl Turbo CVT),https://www.edmunds.com/honda/accord/2020/vin/1HGCV1F54LA098943/?radius=50
128,0,28000.0,2024,"3644 Washington Rd Canonsburg, PA 15317 ",17329.0,4,White,4 Cyl,Priced below KBB Fair Purchase Price! CARFAX One-Owner. 51/44 City/Highway MPG Odometer is 2341 miles below market average!,https://www.carfax.com/vehicle/1HGCY2F64RA033931
129,0,26458.0,2022,Washington,29390.0,4,Red,4,"30/38 City/Highway MPG Odometer is 5087 miles below market average! Priced below KBB Fair Purchase Price! Clean CARFAX. CARFAX One-Owner.  Certified. HondaTrue Certified Details:  * Warranty Deductible: $0 * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 5 years*/60,000 miles*. Honda Care Roadside Assistance for 2 year/100,000 miles (whichever occurs first). Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial. * Transferable Warranty * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Roadside Assistance * 182 Point Inspection * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Vehicle History  Adaptive Cruise Control with Low-Speed Follow, Blind Spot Information (BSI) System, Heated Front Seats, Machine-Finished 17"" Alloy Wheels, Memory seat, Power driver seat, Power moonroof, Power passenger seat, SiriusXM. 2022 Honda Accord EX-L Radiant Red Metallic 1.5T I4 DOHC 16V Turbocharged VTEC CVT FWD Every new and used vehicle purchased at Washington Honda comes with complimentary lifetime PA state inspection and one free oil change.",https://www.carfax.com/vehicle/1HGCV1F52NA050666
130,0,23246.0,2020,,44612.0,4,Platinum White Pearl,Gas,Sport 4dr Sedan (1.5L 4cyl Turbo CVT),https://www.edmunds.com/honda/accord/2020/vin/1HGCV1F35LA126361/?radius=50
131,0,19107.0,2021,Pittsburgh,109098.0,4,Silver,4,Null,https://www.carfax.com/vehicle/1HGCV1F40MA078505
132,0,24990.0,2024,"1043 N Front St Philadelphia, PA 19123",2937.0,4,black,"4-Cyl, i-VTEC, Turbo, 1.5 Liter","Key Features  Comfort and convenience Remote Start  Entertainment and technology Android Auto Apple CarPlay Bluetooth Music Hands Free Calling  Safety and security Active Lane Keep Assistance Adaptive Cruise Control Automatic Emergency Braking Collision Detection Lane Departure Warning Rear Cross Traffic Alert Rear View Camera  Seating and interior Heated Seats  Roof and glass Sunroof  Wheels and tires Alloy Wheels VEHICLE DETAILS  MPG 29 city, 37 hwy  Drivetrain FWD  Exterior Color Black  Interior Black Cloth  Seating 5 Seats  Engine 4-Cyl, i-VTEC, Turbo, 1.5 Liter  Transmission Automatic, Continuously Variable Transmission (CVT)  Fuel Type Gas",https://www.carvana.com/vehicle/lt/3738001?store=Carvpit&utm_source=google&utm_medium=vla&utm_campaign=20420295754&utm_content=&utm_target=&utm_creative=&utm_device=c&utm_adposition=&utm_location=9005925&gad_source=1&gad_campaignid=20420313313&gbraid=0AAAAADdUw5pvtzvJWolUjZ8l_92qFjEWI&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt6ilHTe7tLmcPcAKSxFYPb-Aq6YRzfTHRUT1JZ4FpT_4JnI9QGYEQUaAjgcEALw_wcB
133,0,18122.0,2018,,95723.0,4,Crystal Black Pearl,Gas,EX-L 4dr Sedan (1.5L 4cyl Turbo CVT),https://www.edmunds.com/honda/accord/2018/vin/1HGCV1F57JA073807/?radius=50
